"metric","effect","estimate","se","t_value","p_value","singular"
"POS","(Intercept)",0.415559044760795,0.014372088023234,28.9143125264054,1.56784538806594e-66,FALSE
"POS","conditionPLCB",0.0301692650077224,0.00902584100156824,3.34254337102553,0.000977601644007999,FALSE
"POS","networkSomMot",0.158196203861031,0.0180516820031365,8.76351598890032,5.51454987626256e-16,FALSE
"POS","networkDorsAttn",0.000580344355021881,0.0180516820031365,0.0321490459958826,0.974382740779675,FALSE
"POS","networkSalVentAttn",0.0414729447336934,0.0180516820031365,2.29745597814583,0.0225459546541198,FALSE
"POS","networkLimbic",-0.154657738357953,0.0180516820031365,-8.56749738506811,1.97970008521087e-15,FALSE
"POS","networkCont",-0.0693145478578767,0.0180516820031365,-3.8397833423962,0.0001615995685687,FALSE
"POS","networkDefault",-0.0711413761882479,0.0180516820031365,-3.94098323778843,0.000109443521530957,FALSE
"POS","networkSubcortex",-0.0765102545847305,0.0180516820031365,-4.23840030925854,3.32972302709274e-05,FALSE
"NEG","(Intercept)",-0.0982391538784674,0.00653290257018637,-15.0375966613665,8.32670976625562e-33,FALSE
"NEG","conditionPLCB",-0.0129903972997943,0.00425786780801906,-3.05091606539048,0.00258469542760598,FALSE
"NEG","networkSomMot",0.0554066997123848,0.00975263050889266,5.68120566670333,4.49282305413869e-08,FALSE
"NEG","networkDorsAttn",-0.00409354818478231,0.00832943551216988,-0.491455654924196,0.623633895977668,FALSE
"NEG","networkSalVentAttn",-0.00605714800396981,0.00825598854990226,-0.733667200161211,0.463997090958989,FALSE
"NEG","networkLimbic",-0.0158443789368127,0.00825598854990226,-1.9191377072586,0.056367702879976,FALSE
"NEG","networkCont",-0.0247930308720279,0.00825598854990226,-3.00303600497622,0.00300856932477886,FALSE
"NEG","networkDefault",-0.0361921385771093,0.00825598854990226,-4.38374379498597,1.86995102030278e-05,FALSE
"NEG","networkSubcortex",0.006174630413413,0.00825598854990226,0.747897162900753,0.455386723753612,FALSE
"RATIO","(Intercept)",-4.22029452114424,27.0787576322665,-0.155852590375691,0.876302674409391,FALSE
"RATIO","conditionPLCB",18.2654619544909,18.476212355709,0.988593419627318,0.324032446656566,FALSE
"RATIO","networkSomMot",138.818432063904,42.1752553086618,3.29146631236621,0.00116948472073775,FALSE
"RATIO","networkDorsAttn",-0.815223252198835,36.1581740114366,-0.0225460293415532,0.982034494621617,FALSE
"RATIO","networkSalVentAttn",0.349481669797335,35.8478654195272,0.00974902314844566,0.992231102066359,FALSE
"RATIO","networkLimbic",-2.41574747582435,35.8478654195272,-0.0673888792973552,0.946338446970626,FALSE
"RATIO","networkCont",-2.01207180833359,35.8478654195272,-0.056128078611832,0.955294979482898,FALSE
"RATIO","networkDefault",-2.26956715564045,35.8478654195272,-0.0633110822382234,0.949581086129763,FALSE
"RATIO","networkSubcortex",-0.955654508431091,35.8478654195272,-0.0266586168310742,0.978758208177009,FALSE
