"subject","condition","degree_entropy"
"sub-001","LSD",5.74794032854589
"sub-001","PLCB",5.58548393895674
"sub-002","LSD",5.94273749179338
"sub-002","PLCB",5.45871120543295
"sub-003","LSD",5.73990436514398
"sub-003","PLCB",5.68223304276203
"sub-004","LSD",5.82916701564501
"sub-004","PLCB",5.65364997427292
"sub-006","LSD",5.82449865605831
"sub-006","PLCB",5.632062436601
"sub-009","LSD",5.36806280742857
"sub-009","PLCB",5.51128509339563
"sub-010","LSD",5.80315436950777
"sub-010","PLCB",5.44597942168754
"sub-011","LSD",5.72327405030599
"sub-011","PLCB",5.78015490565833
"sub-012","LSD",5.64746381306917
"sub-012","PLCB",5.77356569670504
"sub-013","LSD",5.58851645841015
"sub-013","PLCB",5.70832678330087
"sub-015","LSD",5.88424378292645
"sub-015","PLCB",5.76106169608055
"sub-017","LSD",6.02829124796564
"sub-017","PLCB",5.74090427199273
"sub-018","LSD",5.69734930799548
"sub-018","PLCB",5.56479133094679
"sub-019","LSD",5.94270770698249
"sub-019","PLCB",5.92977938170584
"sub-020","LSD",5.69197061635542
"sub-020","PLCB",5.70029300751316
