"metric","plano","n","d_z","ci_lo_dz","ci_hi_dz","d_av","ci_lo_av","ci_hi_av","ci_method","n_boot"
"mean_strength","global",15,-0.301220138957871,-1.05387705083591,0.309490943329751,-0.31616894334981,-0.944635651216731,0.35354354864967,"BCa",10000
"global_efficiency","global",15,-0.526517506889763,-1.33899231506505,0.171320880722113,-0.575697497461538,-1.2439533693628,0.183150293223338,"BCa",10000
"char_path_length","global",15,0.602927950035914,-0.093392082207358,1.38162988704047,0.600674738213139,-0.0646895454957683,1.20689839276901,"BCa",10000
"density","global",15,0.682402786852485,0.150802797788953,1.23880852870389,0.615428535516717,0.0790555326619642,1.25460341178764,"BCa",10000
"clustering","global",15,-0.700667020815998,-1.44501557315664,-0.0637179663400866,-0.918249049411927,-1.56806172082336,-0.0568868722521188,"BCa",10000
"modularity","global",15,-0.150240236312424,-0.778457773013018,0.382562010792401,-0.187374276773225,-0.923091829175584,0.470888207192602,"BCa",10000
"assortativity","global",15,-0.373703039593639,-1.00755425900114,0.187461197680778,-0.552706477948614,-1.35806166466473,0.286627471510114,"BCa",10000
"small_worldness","global",15,-0.703529778952817,-1.4354706649969,-0.0687666691365278,-1.04997774254675,-1.91000484731255,-0.151420373431451,"BCa",10000
"eigenvector","nodal",15,0.498214989272781,-0.135273073739355,1.20058118070296,0.673967587784481,-0.215437495475799,1.26373621897461,"BCa",10000
"betweenness","nodal",15,-0.498923936085581,-1.06410170539877,0.02404625957189,-0.674888722844485,-1.41406619060801,0.0472112144512533,"BCa",10000
"closeness","nodal",15,0.0847834540945281,-0.478505595408704,0.574772941987113,0.127812414403247,-0.862363321207884,1.10082247636407,"BCa",10000
"participation","nodal",15,0.478507250013054,-0.103414577070167,1.04409068525476,0.579885680103247,-0.121711510653119,1.19848469350009,"BCa",10000
"degree_entropy","advanced",15,0.555448430113144,0.0293315483290634,1.08352784504043,0.691755359096436,0.0223577106102815,1.46534999965964,"BCa",10000
