"pipeline","seed","n_tests","n_sig_FDR","max_dz","median_dz","min_pFDR"
"OC_24P","AMY",228,0,1.70576081881298,0.294821657410668,0.860773254704971
"OC_24P","HIP",228,0,1.60867312395987,0.603131815852542,0.393857331188146
"OC_24P","NAc",228,0,1.83903403193143,0.435581235499607,0.614536645748489
"OC_24P","PUT",228,0,2.48640490982991,0.649437877455329,0.155794833064136
"OC_24P","THA",224,0,1.54819355516878,0.602236062254962,0.367210044697739
"OC_36P_GSR","AMY",228,0,2.35929444522431,-0.107803482855798,0.374371502605351
"OC_36P_GSR","HIP",228,0,1.67203098039155,-0.0612708857970951,0.777181359491516
"OC_36P_GSR","NAc",228,0,1.70100375059059,0.0479432249678811,0.856651809478187
"OC_36P_GSR","PUT",228,0,1.61312815893785,0.04235198346757,0.864819656604029
"OC_36P_GSR","THA",224,0,3.40119294233063,0.283473592330173,0.0830426783152635
"OC_aCompCor","AMY",228,0,2.26513246175331,0.343501369195835,0.595653165886963
"OC_aCompCor","HIP",228,0,3.48226183810778,0.77798322824607,0.0649162837144274
"OC_aCompCor","NAc",228,0,2.37648031622112,0.559544326910334,0.269017594940464
"OC_aCompCor","PUT",228,16,4.65294302585085,0.946591187155499,0.020751607210532
"OC_aCompCor","THA",224,0,1.83418572037506,0.725464139021533,0.259751649308041
"OC_siegel","AMY",228,0,1.49821474219644,-0.0718835893242293,0.997583728623774
"OC_siegel","HIP",228,0,1.39293135863585,0.360998809934454,0.55086020261169
"OC_siegel","NAc",228,0,2.15839817538793,0.525434522290861,0.386590055147562
"OC_siegel","PUT",228,0,3.48773374732003,0.658164027077535,0.0824923024590099
"OC_siegel","THA",224,1,4.21727798990213,0.755636385784465,0.032761796236805
"TEDANA","AMY",228,0,1.04645349385469,0.25738672640787,0.976001517159307
"TEDANA","HIP",228,0,1.21424492697943,0.403834347252753,0.678304241790362
"TEDANA","NAc",228,0,1.46855257079557,0.328749907547997,0.779247285884093
"TEDANA","PUT",228,0,1.68992893984834,0.467335604339028,0.401471134833174
"TEDANA","THA",224,0,1.614577871257,0.551484892711277,0.465014125804989
"TEDANA_24P","AMY",228,0,1.42009030382405,0.359473066719632,0.812562617149871
"TEDANA_24P","HIP",228,0,2.20083295057112,0.579368098969045,0.410029201959086
"TEDANA_24P","NAc",228,0,2.78405020760468,0.551326649246217,0.235660206311256
"TEDANA_24P","PUT",228,9,3.80792701916534,0.811092024991458,0.0437700778343813
"TEDANA_24P","THA",224,0,1.69176835754358,0.636150383583758,0.346591370191786
"TEDANA_aCompCor","AMY",228,0,2.03365271616303,0.450806091145526,0.563521170617515
"TEDANA_aCompCor","HIP",228,0,3.03981702915491,0.766271904898073,0.0994605400544962
"TEDANA_aCompCor","NAc",228,0,2.58295668697446,0.860891720397717,0.166581389245025
"TEDANA_aCompCor","PUT",228,114,6.79568821762162,1.28833722976877,0.00222465353026342
"TEDANA_aCompCor","THA",224,1,4.27741278511093,0.899888097692962,0.0306047175721875
